"mel.both_baseMean","mel.both_log2FoldChange","mel.both_padj","mel.both_f.wf","mel.both_m.wf","log2FoldChange.FM"
"FBgn0000008",7.14859118817277,-0.679559647204113,1.72010779768169e-09,7.44162061081143,6.75643754189744,0.679559647204113
"FBgn0000014",7.00427318722571,0.219299626389713,0.253686461699131,6.84879008183333,7.08049597683066,-0.219299626389713
"FBgn0000015",6.55557095720583,1.56472175275519,8.04690427220278e-30,5.56468373632593,7.1216937973764,-1.56472175275519
"FBgn0000017",9.18190704569828,-0.306298804300661,0.0579424984656865,9.27219535113727,9.02078653175796,0.306298804300661
"FBgn0000018",6.56399056564919,0.062579312927558,0.730938429308566,6.49752992760242,6.58043970442737,-0.062579312927558
"FBgn0000024",8.87567883070635,1.04564560775192,6.26340189189784e-06,8.14344425795807,9.27936606854802,-1.04564560775192
"FBgn0000028",5.56928460673904,2.85717372958615,1.23481646434707e-29,3.27239688273589,6.33808749051104,-2.85717372958615
"FBgn0000032",8.46969403990541,-1.23466240542051,1.31559340738122e-38,8.94733021692682,7.72190175166315,1.23466240542051
"FBgn0000036",5.99373502214904,1.16169770670586,0.000327739747511362,4.98409210648453,6.42160055406687,-1.16169770670586
"FBgn0000037",6.7626379234095,1.05753455970348,2.64853366780955e-08,6.08018367149736,7.16627542585952,-1.05753455970348
"FBgn0000038",8.30181775936459,1.0515492289556,1.35695923008767e-11,7.66202317272248,8.70160429105888,-1.0515492289556
"FBgn0000039",5.76955185167798,1.12911413684462,5.20963945335616e-07,5.00590018981685,6.20461579087348,-1.12911413684462
"FBgn0000042",13.7986215702985,-0.657543454635373,2.48809375712123e-05,14.0840963249038,13.3827813040028,0.657543454635373
"FBgn0000043",10.8140314362409,0.201822808459135,0.0180123622162693,10.707476184907,10.901366104825,-0.201822808459135
"FBgn0000044",13.4320320021764,-0.042712546668379,0.848698982523391,13.3783683904705,13.3909973892649,0.042712546668379
"FBgn0000045",13.1273091874951,0.773695163076271,0.00031077608391267,12.6098839824556,13.4260222810209,-0.773695163076271
"FBgn0000046",12.1305190391242,0.763862196134387,9.46825543520916e-06,11.6392625474759,12.4508779104008,-0.763862196134387
"FBgn0000047",12.4722671856437,-0.88952353278051,0.0680807503251285,12.5559698319267,11.7150432444715,0.88952353278051
"FBgn0000052",9.76895045821351,-0.34998005314172,0.236412027413763,9.92178792738472,9.38189642939806,0.34998005314172
"FBgn0000053",9.32697052920741,-1.08053541507113,6.36361301981637e-12,9.73429232243798,8.66645774125289,1.08053541507113
"FBgn0000055",4.7505898987357,0.915584927025087,0.400888988440971,2.99826514902326,4.28631829518719,-0.915584927025087
