"mel.both_baseMean","mel.both_log2FoldChange","mel.both_padj","mel.both_m.WF","mel.both_m.RE","log2FoldChange.maleREWF"
"FBgn0000008",6.89043411451109,-0.82289601635409,1.45228764632363e-08,6.41224554596646,7.20848686901434,0.82289601635409
"FBgn0000014",6.73749839718594,0.0535489041007763,0.807157872159393,6.73559022711969,6.64106059380769,-0.0535489041007763
"FBgn0000015",8.98044850729964,-3.03808357297923,7.9484183837339e-186,6.77668428643389,9.80006927214262,3.03808357297923
"FBgn0000017",8.51323197497681,0.342300799185196,1.62852399914882e-05,8.67370662931202,8.31775976607777,-0.342300799185196
"FBgn0000018",6.49036593964498,-0.457955318361621,0.000331221980002399,6.23676682823388,6.68243241740416,0.457955318361621
"FBgn0000024",8.34502476535905,1.71244008437056,8.92973608541435e-18,8.93216943862222,7.18763088466949,-1.71244008437056
"FBgn0000028",5.09168157913495,4.8801297549234,3.81673565170096e-08,5.99518397435502,0.507018735542588,-4.8801297549234
"FBgn0000032",8.01200686044522,-1.06736907411472,9.7901128769036e-26,7.375927112176,8.43314569212705,1.06736907411472
"FBgn0000036",5.94358469445873,0.380641646932884,0.703188161788488,6.07850315729761,3.65924589918791,-0.380641646932884
"FBgn0000037",5.94274946343991,4.09035946317404,2.96060610113882e-44,6.8212183295982,2.66975622571118,-4.09035946317404
"FBgn0000038",7.42640596670054,5.26958782030669,1.9181984762139e-89,8.35472762304747,3.1381530699621,-5.26958782030669
"FBgn0000039",5.000415872659,3.93804601568173,3.14153949594826e-14,5.86215681184322,1.52010393041437,-3.93804601568173
"FBgn0000042",13.0419031280863,0.0891954549677654,0.721946088418267,13.0349812962189,12.9083583334782,-0.0891954549677654
"FBgn0000043",10.122119512498,1.07691629155758,0.000198700582074583,10.5537342280594,9.28350857253983,-1.07691629155758
"FBgn0000044",13.2709552048919,-0.386651570326961,0.0219027877607684,13.0431966467485,13.4078584981727,0.386651570326961
"FBgn0000045",12.1291171165183,7.125379861794,8.21595282340869e-70,13.0782210449751,5.57777492620462,-7.125379861794
"FBgn0000046",12.055566248876,0.118812106202708,0.406603117523004,12.1031103150365,11.9620316793124,-0.118812106202708
"FBgn0000047",10.6199090786626,8.75230264327596,2.43846625408024e-72,11.3673474027399,2.7612859241642,-8.75230264327596
"FBgn0000052",9.05511986881872,0.372496809152214,0.28070882843971,9.03471175603669,8.76271214006897,-0.372496809152214
"FBgn0000053",8.70624227989715,-0.652982204658211,0.0111679244444488,8.31960998632869,8.85989615929459,0.652982204658211
"FBgn0000055",4.29927120019266,1.37410476677429,0.212746548250362,3.98001447495878,2.11271471552893,-1.37410476677429
"FBgn0000057",8.23694394383331,0.406875380699678,4.76125895834066e-07,8.41946672197565,8.01432729001642,-0.406875380699678
"FBgn0000061",1.95726611748194,4.19865668132831,1.62734569717653e-07,2.68527163197371,0.117610656726049,-4.19865668132831
