"primary_FBgn" "gene_symbol" "Area.FRT_U1" "Area.FRT_U2" "Area.FRT_PM2" "Area.FRT_PM1" "Area.Fluid_U2" "Area.Fluid_U1" "Area.Fluid_PM1" "Area.Fluid_PM2"
"FBgn0000043" "Act42A" -0.196138566567093 -0.166828974391578 -0.474338964505115 0.165618972448307 -14.7075347150046 -12.9372269347588 -11.1796875680732 -10.0818422024691
"FBgn0000044" "Act57B" 9.00836127124217 9.00777512082893 8.63764752659619 8.74013362453562 11.9166842383023 13.4646670092717 13.7557530884075 14.6616084144371
"FBgn0000045" "Act79B" 0.368309416584253 -1.87625737704014 2.54176189412594 0.804171573943332 -14.7075347150046 -12.9372269347588 -11.1796875680732 -10.0818422024691
"FBgn0000052" "Pfas" 3.7556643385583 3.45476387418103 3.4736024305842 2.83168401980933 13.9177298863912 13.593763594346 13.6386750399907 14.535274176698
"FBgn0000053" "Gart" 3.8072695752613 3.73419175599432 3.21389243556593 2.80928287307359 13.3143580354851 13.3269063834626 13.4065457258793 13.9370195541666
"FBgn0000055" "Adh" 10.9792766584953 10.5703195253499 10.3383119481919 9.58388511361511 18.7065897459946 18.1300509213109 20.0277145118463 21.6805980446101
"FBgn0000064" "Ald1" 7.95017697306198 8.15693709276828 7.70863348749521 7.60057779699205 16.313285695295 17.797181076308 18.4004003735608 18.4728762707344
"FBgn0000083" "AnxB9" 5.78476208716231 4.83322319142644 4.82056749149807 4.03399990323108 12.9266221491797 13.0732076282069 14.5408016004494 15.1493374041996
"FBgn0000084" "AnxB10" 2.81276118543553 2.78314991167112 2.11637282868137 2.76468943159158 10.996843290867 12.2416616075268 12.7889997008672 13.0110337918358
"FBgn0000100" "RpLP0" 5.20075424849565 5.1444248788751 4.81775555747203 4.55672943287947 11.741703258199 12.5343689348299 13.2296231450324 13.5085092150955
"FBgn0000109" "Aprt" 0.70280934655041 -0.899662738548987 -1.24289973259937 -0.304093077955955 7.80401069279369 6.72535278538125 7.93378754691286 9.53797119198795
"FBgn0000115" "Arl1" -0.984051591993381 -0.82306384863897 -0.902869641492043 -0.656663458243202 5.73772772515434 -12.9372269347588 -11.1796875680732 -10.0818422024691
"FBgn0000116" "Argk" 7.92184692823088 7.83057306841418 7.2782838838179 7.68971008510411 16.41027192565 18.2490159810399 18.4480313500383 18.7308097322795
"FBgn0000150" "awd" 6.49952256389037 6.11500681044231 5.55863325344166 5.37225399983942 13.1925278650787 13.2983232686057 15.2677700488012 16.0876533325962
"FBgn0000173" "ben" 0.774126746777902 0.566030258585485 0.558194896509889 -0.908243563371141 6.15783383132075 7.62921458682188 7.72517927625666 7.57345791030641
"FBgn0000181" "bic" 2.51486592959979 2.80658472159124 2.58964278732447 2.47603561703383 9.15344623691069 8.5011979325321 9.77065829845004 11.3691681297253
"FBgn0000239" "bur" 0.539239729059393 0.802369927554381 0.323403802334965 0.000844282226101001 9.76777723893515 9.55407840368876 9.82905630816455 9.82902154085069
"FBgn0000244" "by" 1.61818220839677 1.92741090821904 1.62919948619366 2.15981987355036 5.7656488017457 6.81391336270442 -11.1796875680732 -10.0818422024691
"FBgn0000250" "cact" -0.534180991616683 -0.399834591679987 -0.521043028496553 -0.341470286903547 5.73570530381007 -12.9372269347588 5.20587154360581 5.29071682369341
"FBgn0000253" "Cam" 1.58812942679688 1.31669371508581 1.08490974421742 1.34019542755886 7.99954821777151 7.45953356754348 9.64197821393909 10.2901481507618
"FBgn0000259" "CkIIbeta" -0.99315307499316 -5.3111859027253 -2.10925456578948 -1.87972512184534 -14.7075347150046 -12.9372269347588 -11.1796875680732 -10.0818422024691
"FBgn0000261" "Cat" 2.61606627885263 2.0820377217607 2.3208813143303 1.97755276620095 10.0181898041943 10.9091932334621 10.2980474802848 11.6815229607609
"FBgn0000273" "Pka-C1" 0.750572367279776 1.35060740741579 1.43394574717185 0.841013055823058 8.97195837794133 10.1131001896318 9.78652002348443 9.85634898306577
"FBgn0000299" "Col4a1" 5.21220008370525 5.70094889225649 5.52726325126825 5.70921382723543 4.32923184786047 3.22738542208123 -11.1796875680732 -10.0818422024691
"FBgn0000308" "chic" 2.78314427931483 2.62896324148244 2.12005467662424 2.5354443435508 10.5796492723125 10.7791597725345 13.0727989281697 14.1934185070888
"FBgn0000318" "cl" -0.448701402459477 -1.27848955836229 -0.528489858145402 -0.633449908043783 5.58468018037361 5.80074323859678 5.95492926451948 7.10399144275296
"FBgn0000319" "Chc" 2.91704485016978 4.74979161794307 4.76005343670149 4.89556523234585 12.5699269488753 13.1540717417377 13.0711377107201 13.282685907714
"FBgn0000406" "Cyt-b5-r" 0.376221330747512 1.94549047706482 1.12584645951096 1.29967368647524 0.892871877566217 5.95538999265716 -11.1796875680732 -10.0818422024691
"FBgn0000412" "D1" -2.24470238324468 -0.565428390379228 -0.587446282213168 -0.696202543781094 4.05416259226663 -12.9372269347588 4.48850492477609 -10.0818422024691
"FBgn0000416" "Sap-r" 0.485547628227884 0.145808322307289 0.695530558774546 0.617765715509972 -14.7075347150046 -12.9372269347588 -11.1796875680732 -10.0818422024691
"FBgn0000447" "Dhod" -0.559147747219701 -0.484127039068696 -1.20282406303032 -0.564809633073114 -14.7075347150046 -12.9372269347588 -11.1796875680732 -10.0818422024691
"FBgn0000454" "Dip-B" 2.7214530767522 2.83029142857824 2.59397184967958 2.73745474686031 10.9188583713845 10.8139077427549 10.3055860389881 10.4969036238649
"FBgn0000455" "Dip-C" 0.149358270278135 -0.810545620797441 -1.03115352846542 -0.211059293974397 7.76120590146745 8.46864839408885 8.70200745801943 9.60071182412053
