Fly	Cross	eye	Cop_start	Cop_end	Duration	Mate	Freeze	Freeze_Day	Freeze_Time	1Egg	1Hatch	2Egg	2Hatch	3Egg	3Hatch	4Egg	4Hatch	DiedEarly	NoYeastFirst	MaybeMixUp	ReasonExclude	eye2	ST	PO	Plug	Egg	SRsperm	STsperm1	STsperm2	FRTabnormal	EyeMismatch	AnnotationMixup	EggOviduct	EggDegen	NoSpermXfer	ExcludeMismatch
184	63x4040	dent				N												N	N	N	N															N
185	63x4040	dent	10:27	11:04	0:37	Y	24	16	11:40	45	19							N	N	N	N	dent	2	2	N	N	372	74	120	N	N	N	N	N	N	N
186	63x4040	dent	11:04	11:30	0:26	Y												Y	N	N	Y	dent	2	2	N	N	243	130	114	N	N	N	N	N	N	N
187	63x4040	dent	14:02	14:47	0:45	Y				30	22	0	0					N	N	N	N	dent	2	2	N	N	245	9	78	N	N	N	N	N	N	N
188	63x4040	dent				N												N	N	N	N															N
189	63x4040	dent	10:09	10:42	0:33	Y	72	18	12:35	52	43	0	0	47	32			N	N	N	N	dent	2	2	N	Y	47	19	88	N	N	N	N	N	N	N
190	63x4040	dent	10:31	11:09	0:38	Y	72	18	12:35	66	52	0	0	24	21			N	N	N	N	dent	2	2	N	N		46	131	N	N	N	N	N	N	N
191	63x4040	dent	10:58	11:37	0:39	Y												N	N	N	N															N
192	63x4040	dent	10:01	10:30	0:29	Y	72	18	12:35	57	57	0	0	30	26			N	N	N	N	dent	2	2	N	N	383	115	74	N	N	N	N	N	N	N
193	63x4040	dent	10:49	11:19	0:30	Y	24	16	11:40	25	21							N	N	N	N	dent	2	2	N	N	361	71	54	N	N	N	N	N	N	N
194	63x4040	dent	9:57	10:28	0:31	Y	72	18	12:35	40	28	0	0	0	0			N	N	N	N	dent	2	2	N	Y	284	108	70	N	N	N	N	N	N	N
195	63x4040	dent	11:47	12:12	0:25	Y	48	17	15:20	43	38	0	0					N	N	N	N	dent	2	2	N	N	433	136	142	N	N	N	N	N	N	N
196	63x4040	dent	12:09	12:58	0:49	Y	2	15	15:00	0	0							N	N	N	N															N
197	63x4040	dent	12:34	13:01	0:27	Y	2	15	15:00	0	0							N	N	N	N															N
198	63x4040	dent	12:03	12:39	0:36	Y	2	15	2:35	0	0							N	N	N	N															N
199	63x4040	dent		11:03		Y	96	19		87	57	0	0	104	69	43	24	N	N	N	N	dent	2	2	N	N	32	16	54	N	N	N	N	N	N	N
200	63x4040	dent	10:31	11:37	1:06	Y	96	19		0		0	0	1	1	3	2	N	N	N	N	dent	2	2	N	N	519	58	106	N	N	N	N	N	N	N
201	63x4040	full				N												N	N	N	N															N
202	63x4040	full	12:34	13:05	0:31	Y	2	15	15:00	0	0							N	N	N	N															N
203	63x4040	full	12:28	13:00	0:32	Y	2	15	15:00	0	0							N	N	N	N															N
204	63x4040	full				N												N	N	N	N															N
205	63x4040	full	11:09	11:46	0:37	Y	6	15	18:05	0	0							N	N	N	N	WT	0	0	Y	Y	373			N	N	N	Y	N	N	N
206	63x4040	full				N				0	0							N	N	N	N															N
207	63x4040	full	10:10	10:38	0:28	Y	72	18	12:35	0?		0	0	0	0			N	N	N	N	WT	0	0	Y	N	333			N	N	N	N	N	N	N
208	63x4040	full	10:10	10:43	0:33	Y	24	16	11:40	38	8							N	N	N	N	WT	0	0	Y	Y	192			N	N	N	Y	N	N	N
209	63x4040	full	10:06	10:38	0:32	Y	72	18	12:35	0	0	0	0	0	0			N	N	N	N	WT	0	0	Y	N	217			Y	N	N	N	N	N	N
210	63x4040	full	14:52	15:19	0:27	Y	48	17	15:20	29	29	0	0					N	N	N	N	WT	0	0	N	Y	29			N	N	N	N	N	N	N
211	63x4040	full	11:26	12:07	0:41	Y	96	19		77	36	17	17	1	1	0	0	N	N	N	N	WT	0	0	N	N	31			N	N	N	N	N	N	N
212	63x4040	full	11:36	12:16	0:40	Y				0	0	0	0	0	0			Y	N	N	Y															N
213	63x4040	full	10:20	10:44	0:24	Y	24	16	11:40	51	44							N	N	N	N	WT	0	0	N	N	65			N	N	N	N	N	N	N
214	63x4040	full	10:32	11:00	0:28	Y	24	16	11:40	59	49							N	N	N	N	WT	0	0	N	N	112			N	N	N	N	N	N	N
215	63x4040	full	13:43	14:23	0:40	Y				0	0							Y	N	N	Y															N
216	63x4040	full	10:25	10:52	0:27	Y	24	16	11:40	46	17							N	N	N	N	WT	0	0	N	N	216			N	N	N	N	N	N	N
217	63x4040	full	11:00	11:36	0:36	Y	6	15	17:45	0	0							N	N	N	N	WT	0	0	N	N	128			N	N	N	N	N	N	N
218	63x4040	full	12:01	12:41	0:40	Y	2	15	15:00	0	0							N	N	N	N															N
219	63x4040	full	10:28	11:00	0:32	Y	24	16	11:40	57	54							N	N	N	N	WT	0	0	N	Y	32			N	N	N	N	N	N	N
220	63x4040	full				N												N	N	N	N															N
221	63x4040	full	10:55	11:36	0:41	Y	72	18	12:35	73	52	42	37	34	34			N	N	N	N	WT	0	0	N	N	143			N	N	N	N	N	N	N
222	63x4040	full	11:41	12:09	0:28	Y	72	18	12:35	41	20	0	0	0	0			N	N	N	N	WT	0	0	N	N	42			N	N	N	N	N	N	N
223	63x4040	full	10:52	11:36	0:44	Y	6	15	17:45	0	0							N	N	N	N	WT	0	0	Y	N	19			N	N	N	N	N	N	N
224	63x4040	full	10:41	11:09	0:28	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	Y	N	422			N	N	N	N	N	N	N
225	63x4040	full				N												N	N	N	N															N
226	63x4040	full	10:35	11:09	0:34	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	Y	Y	69			N	N	N	Y	N	N	N
227	63x4040	full	10:59	11:29	0:30	Y	72	18	12:35	36	32	0	0	0	0			N	N	N	N	WT	0	0	N	N	23			N	N	N	N	N	N	N
228	63x4040	full	10:45	11:12	0:27	Y	24	16	11:40	33	19							N	N	N	N	WT	0	0	N	Y				N	N	N	N	N	N	N
229	63x4040	full	13:20	12:49		Y	48	17	15:20	20	9	0	0					N	N	N	N	WT	0	0	N	Y	72			N	N	N	N	Y	N	N
230	63x4040	full	10:51	11:26	0:35	Y	6	15	17:40	0	0							N	N	N	N	WT	0	0	N	Y	167			N	N	N	N	N	N	N
231	63x4040	full	11:50	12:35	0:45	Y	2	15	2:35	0	0							N	N	N	N															N
232	63x4040	full	11:50	12:19	0:29	Y				0	0	0	0					N	N	N	N	WT	0	0	Y	Y				N	N	N	N	N	N	N
233	63x4040	full				N												N	N	N	N															N
234	63x4040	full				N												N	N	N	N															N
235	63x4040	full	11:41	12:09	0:28	Y	96	19		53	27	21	21	45	40	56	51	N	N	N	N	WT	0	0	N	N	68			N	N	N	N	N	N	N
236	63x4040	full	11:46	12:28	0:42	Y	96	19		0	0	0	0	0	0	32	11	N	N	N	N	WT	0	0	N	N	151			N	N	N	N	N	N	N
237	63x4040	full				N												Y	N	N	Y															N
238	63x4040	full	13:43	14:16	0:33	Y	48	17	15:20	11	5	0	0					N	N	N	N	WT	0	0	N	Y	87			N	N	N	N	N	N	N
239	63x4040	full	11:54	12:34	0:40	Y	2	15	2:35	0	0							N	N	N	N															N
240	63x4040	full	14:32	14:56	0:24	Y	96	19		42	34	0	0	0	0	0	0	N	N	N	N	WT	0	0	N	N	352			N	N	N	N	N	N	N
241	63x4040	full	11:46	12:03	0:17	Y				0	0	0	0	0	0			Y	N	N	Y															N
242	63x4040	full	12:52	13:43	0:51	Y	48	17	15:20	50	23	33	23					N	N	N	N	WT	0	0	N	Y	88			N	N	N	N	N	N	N
243	63x4040	full				N												N	N	N	N															N
244	63x4040	full	10:53	11:25	0:32	Y	6	15	17:40	0	0							N	N	N	N	WT	0	0	Y	N	397			N	N	N	N	N	N	N
245	63x4040	full	10:57	11:46	0:49	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	Y	N	0			N	N	N	N	N	N	N
246	63x4040	full				N												N	N	N	N															N
247	63x4040	full				N												N	N	N	N															N
248	63x4040	full				N												N	N	N	N															N
249	63x4040	full	12:06	12:13	0:07	Y												Y	N	N	Y															N
250	63x4040	full	11:18	11:57	0:39	Y	96	19		56	38	25	25	80	80	81	81	N	N	N	N	WT	0	0	N	Y	65			N	N	N	N	N	N	N
251	63	dent	10:57	11:29	0:32	Y	6	15	17:40	0	0							N	N	N	N	dent	2	2	N	N	482	93	131	N	N	N	N	N	N	N
252	63	dent	11:15	11:46	0:31	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	N	Y	500	119	113	N	N	N	N	N	N	N
253	63	dent	11:12	11:53	0:41	Y	96	19		33	18	0	0	0	0	2	2	Y	N	N	Y	dent	2	2	N	N	27	75	74	N	N	N	N	N	N	N
254	63	dent	11:36	12:19	0:43	Y				29	20	0	0	0	0			N	N	N	N															N
255	63	dent	10:51	11:25	0:34	Y	6	15	17:40									N	N	N	N	dent	2	2	N	Y	394	73	112	N	N	N	N	N	N	N
256	63	dent	10:57	11:25	0:28	Y	6	15	17:40									N	N	N	N	dent	2	2	N	N	493	150	121	N	N	N	N	N	N	N
257	63	dent	11:12	11:41	0:29	Y	24	16	11:40	8	7							N	N	N	N	dent	2	2	N	Y	492	139	101	N	N	N	N	N	N	N
258	63	dent	11:18	11:45	0:27	Y	24	16	11:40	23	20							N	N	N	N	dent	2	2	N	N	399	86	124	N	N	N	N	N	N	N
259	63	dent	10:55	11:32	0:37	Y	24	16	11:40	46	24							N	N	N	N	dent	2	2	N	Y	399	86	124	N	N	N	N	N	N	N
260	63	dent	11:05	11:32	0:27	Y	24	16	11:40	37	28							N	N	N	N	dent	2	2	N	Y	442	107		N	N	N	N	N	N	N
261	63	dent	14:23	14:56	0:33	Y	48	17	15:20	0	0	0	0					N	N	N	N	dent	2	2	N	Y	564	41	22	N	N	N	N	Y	N	N
262	63	dent	14:31	14:56	0:25	Y	48	17	15:20	0	0	0	0					N	N	N	N	dent	2	2	N	Y	361	20	5	N	N	N	N	Y	N	N
263	63	dent	11:05	11:35	0:30	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	N	Y	395	105	92	N	N	N	N	N	N	N
264	63	dent	11:53	12:30	0:37	Y	2	15	2:35	0	0							N	Y	N	Y															N
265	63	dent	11:25	11:49	0:24	Y	72	18	12:35	7	6	0	0	12	7			N	N	N	N	dent	2	2	N	Y	78	100	98	N	N	N	N	N	N	N
266	63	dent	11:12	11:57	0:45	Y	72	18	12:35	15	9	0	0	0	0			N	N	N	N	dent	2	2	N	Y	67	75	136	N	N	N	N	N	N	N
267	63	dent	10:59	11:28	0:29	Y	6	15	17:40	0	0							N	N	N	N	dent	2	2	N	Y	494	101	170	N	N	N	N	N	N	N
268	63	dent	11:11	11:53	0:42	Y	72	18	12:35	0	0	0	0	0	0			N	N	N	N	dent	2	2	N	Y	154	21		N	N	N	N	N	N	N
269	63	dent	11:35	12:13	0:38	Y	96	19		0	0	0	0	0	0	34	28	N	N	N	N	dent	2	2	N	Y	249	43	52	N	N	N	N	N	N	N
270	63	dent	11:18	11:56	0:38	Y	72	18	12:35	26	20	0	0	0	0			N	N	N	N	WT	2	2	N	N				N	Y	Y	N	N	N	N
271	63	dent	12:58			Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N	dent	2	2	N	Y				N	N	Y	N	N	N	N
272	63	dent	12:33	13:14	0:41	Y	2	15	15:19	0	0							N	N	N	N															N
273	63	dent	11:24	11:56	0:32	Y	72	18	12:35	15	10	0	0	4	3			N	N	N	N	dent	2	2	Y	N	365	45	43	N	N	N	N	N	N	N
274	63	dent	11:05	11:35	0:30	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	N	Y	509	180	87	N	N	N	N	N	N	N
275	63	dent	14:06	14:47	0:41	Y	48	17	15:20	8	5	0	0					N	N	N	N	dent	2	2	N	Y	492			N	N	N	N	N	N	N
276	63	dent				N												N	N	N	N															N
277	63	dent	11:24	11:53	0:29	Y	72	18	12:35	0	0	0	0	1	1			N	N	N	N	WT	2	2	N	N	55	67	66	Y	Y	N	N	N	N	N
278	63	dent	10:57	11:28	0:31	Y	6	15	17:40	0	0							N	N	N	N	dent	2	2	N	N	537	4	2	N	N	N	N	N	N	N
279	63	dent				N												N	N	N	N															N
280	63	dent	11:40	12:22	0:42	Y	96	19		0	0	0	0	1	1	10	6	N	N	N	N	dent	2	2	N	Y	467	43	54	N	N	N	N	N	N	N
281	63	dent	11:17	11:40	0:23	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	N	Y	514	32	66	N	N	N	N	N	N	N
282	63	dent	14:16	14:59	0:43	Y	48	17	15:30	0	0	1	1					N	Y	N	Y	dent	1	1	N	Y	475	97		Y						N
283	63	dent	11:07	11:45	0:38	Y	72	18	12:35	0	0	0	0	1	1			N	N	N	N	WT	2	2	N	Y	27	99	102	N	Y	N	N	N	N	N
284	63	dent	12:46	13:19	0:33	Y	2	15	15:19	0	0							N	N	N	N															N
285	63	dent	11:07	11:35	0:28	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	N	Y	479	69	49	N	N	N	N	N	N	N
286	63	dent	11:24	12:16	0:52	Y	96	19		0	0	0	0	1	1	0	0	N	N	N	N	dent	2	2	N	N	286	33	115	N	N	N	N	N	N	N
287	63	dent	11:14	11:40	0:26	Y	72	18	12:35	0	0	0	0	1	1			N	N	N	N	dent	2	2	N	Y	398	41	86	Y	N	N	N	N	N	N
288	63	dent	12:13	13:04	0:51	Y	2	15	15:12	0	0							N	N	N	N															N
289	63	dent	11:14	11:45	0:31	Y	96	19		3	1	0	0	0	0	0	0	N	N	N	N	dent	2	2	N	N	485	94	116	N	N	N	N	N	N	N
290	63	dent	11:20	12:00	0:40	Y				0	0	0	0					Y	N	N	Y															N
291	63	dent				N												N	N	N	N															N
292	63	dent	14:51	15:32	0:41	Y	48	17	15:20	0	0	1	1					N	Y	N	Y	dent	2	2	N	N	273	38	81	N	N	N	N	N	N	N
293	63	dent	11:34	12:08	0:34	Y				0	0	0	0					N	N	N	N															N
294	63	dent				N												N	N	N	N															N
295	63	dent	12:00	12:27	0:27	Y	96	19		0	0	1	0	0	0	6	1	N	Y	N	Y	dent	2	2	N	Y	203	15	81	N	N	N	N	N	N	N
296	63	dent	11:07	11:39	0:32	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	N	Y	478	8	115	N	N	N	N	N	N	N
297	63	dent	12:16	12:51	0:35	Y	2	15	14:50	0	0							N	Y	N	Y															N
298	63	dent				N												N	N	N	N															N
299	63	dent				N												N	N	N	N															N
300	63	dent	11:11	11:52	0:41	Y	72	18	12:35	1	1	0	0	0	0			N	N	N	N	dent	2	2	N	N	56	31	47	Y	N	N	N	N	N	N
301	63	full	11:07	11:39	0:32	Y				20	20	16	16					N	N	N	N															N
302	63	full	13:08			N	48	17	15:30	11	8	10	8					N	N	Y	Y	WT	0	0	N	Y	12			N	N	N	N	N	N	N
303	63	full	11:48	12:27	0:39	Y	48	17	15:30	14		12						N	N	N	N	WT	0	0	N	Y	21			Y	N	N	N	N	N	N
304	63	full	11:45	12:08	0:23	Y	72	18	12:35	20	12	16	16	16	16			N	N	Y	Y	WT	0	0	N	N	0			N	N	N	N	N	N	N
305	63	full	12:05	12:33	0:28	Y	2	15	2:35	0	0							N	N	N	N															N
306	63	full	11:28	11:44	0:16	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	N	Y	379			N	N	N	N	N	N	N
307	63	full	11:44	12:12	0:28	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N	WT	0	0	Y	N	247			N	N	N	N	N	N	N
308	63	full				N												N	N	N	N															N
309	63	full	11:39	11:52	0:13	Y	72	18	12:35	27	16	0	0	8	8			N	N	N	N	WT	0	0	N	N	4			N	N	N	N	N	N	N
310	63	full	11:48	12:15	0:27	Y	96	19		11	8	12	12	14	14	13	6	N	N	Y	Y	WT	0	0	N	N	42			N	N	N	N	N	N	N
311	63	full	11:58	12:24	0:26	Y	96	19		16	9	18	18	11	11	8	3	N	N	Y	Y	WT	0	0	N	N	83			N	N	N	N	N	N	N
312	63	full				N												N	N	N	N															N
313	63	full	12:12	12:35	0:23	Y	2	15	2:35	0	0							N	N	N	N															N
314	63	full	11:10	11:39	0:29	Y	24	16	11:40	15	8							N	N	N	N	WT	0	0	N	Y	48			N	N	N	N	N	N	N
315	63	full	11:52	12:27	0:35	Y	48	17	15:20	0	0	0	0					N	N	N	N	WT	0	0	Y	N	347			N	N	N	N	N	N	N
316	63	full				N												N	N	N	N															N
317	63	full	11:10	11:44	0:34	Y	24	16	11:40	7	4							N	N	N	N	WT	0	0	N	N	60			N	N	N	N	N	N	N
318	63	full	11:52	12:18	0:26	Y	96	19		0	0	0	0	8	8	0	0	N	N	N	N	dent	2	0	N	N	271	10	31	Y	Y	N	N	N	N	Y
319	63	full	11:52	12:15	0:23	Y				0	0	0	0					Y	N	N	Y															N
320	63	full				N												N	N	N	N															N
321	63	full	11:47	12:15	0:28	Y				3	1							Y	N	N	Y															N
322	63	full	11:14	11:44	0:30	Y	24	16	11:40	6	0							N	N	N	N	WT	0	0	N	Y	112			N	N	N	N	N	N	N
323	63	full	11:38	12:02	0:24	Y												N	N	N	N															N
324	63	full				N												N	N	N	N															N
325	63	full	13:08	13:38	0:30	Y	48	17	15:20	33	23	0	0					N	N	N	N	WT	0	0	Y	Y	184			N	N	N	N	Y	N	N
326	63	full	13:00	13:31	0:31	Y	48	17	15:20	26	6	26	24					N	N	Y	Y	WT	0	0	Y	Y	35			N	N	N	Y	N	N	N
327	63	full				N												N	N	N	N															N
328	63	full				N												N	N	N	N															N
329	63	full	11:23	11:51	0:28	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	Y	N	179			N	N	N	N	N	N	N
330	63	full	11:58	12:40	0:42	Y	2	15	2:35	0	0							N	N	N	N															N
331	63	full	12:37	13:18	0:41	Y	2	15	15:19	0	0							N	N	N	N															N
332	63	full	10:53	11:30	0:37	Y				9	5	0	0					Y	N	N	Y															N
333	63	full	10:53	11:30	0:37	Y	6	15	17:40	0	0							N	N	N	N	WT	0	0	Y	N	86			N	N	N	N	N	N	N
334	63	full	11:23	11:51	0:28	Y	24	16	11:40	4	4							N	N	N	N	WT	0	0	N	Y	215			N	N	N	N	N	N	N
335	63	full	11:13	11:38	0:25	Y	6	15	17:45	0	0							N	N	N	N	WT	0	0	Y	N	91			N	N	N	N	N	N	N
336	63	full	11:48	12:13	0:25	Y	72	18	12:35	0	0	0	0	0	0			N	Y	N	Y	dent	0	0	Y	N	50			N	Y	N	N	N	N	N
337	63	full	12:01	12:14	0:13	Y												Y	N	N	Y															N
338	63	full	11:43	12:04	0:21	Y				0	0							Y	Y	N	Y															N
339	63	full	11:10	11:43	0:33	Y	24	16	11:40	12	0							N	N	N	N	WT	0	0	N	N	183			N	N	N	N	N	N	N
340	63	full				N												N	N	N	N															N
341	63	full				N												N	N	N	N															N
342	63	full	11:27	11:38	0:11	Y	6	15	17:45	7	7							N	N	N	N	WT	0	0	N	N	1			N	N	N	N	N	N	N
343	63	full	11:54	12:17	0:23	Y				0	0							Y	N	N	Y															N
344	63	full				N												N	N	N	N															N
345	63	full	11:23	11:47	0:24	Y	24	16	11:40	28	22							N	N	N	N	WT	0	0	N	N	9			N	N	N	N	N	N	N
346	63	full				N												N	N	N	N															N
347	63	full	10:47	11:10	0:23	Y	72	18	12:35	38	28	0	0	38	34			N	N	N	N	WT	0	0	N	N	9									N
348	63	full	10:53	11:27	0:34	Y	6	15	17:40	0	0							N	N	N	N	WT	0	0	Y	N	222			N	N	N	N	N	N	N
349	63	full	10:53	11:27	0:34	Y	6	15	17:40	0	0							N	N	N	N	WT	0	0	Y	N	269			N	N	N	N	N	N	N
350	63	full	12:59	13:25	0:26	Y	2	15	15:19	0	0							N	N	N	N															
																																				
																																				
