Fly	Cross	eye	Cop_start	Cop_end	Duration	Mate	Freeze	Freeze_Day	Freeze_Time	1Egg	1Hatch	2Egg	2Hatch	3Egg	3Hatch	4Egg	4Hatch	DiedEarly	NoYeastFirst	MaybeMixUp	ReasonExclude	eye2	ST	PO	Plug	Egg	SRsperm	STsperm1	STsperm2	FRTabnormal	EyeMismatch	AnnotationMixup	EggOviduct	EggDegen	NoSpermXfer	ExcludeMismatch
39	63x64	dent	12:37	13:15	0:38	Y	48	17	15:30	0	0	0	0					N	Y	N	Y	dent	2	0	Y	N	315	55	65	N	N	N	N	N	N	N
40	63x64	dent	10:22	11:03	0:41	Y	24	16	11:40	45	32							N	N	N	N	dent	2	0	N	Y	300	107		N	N	N	N	N	N	N
41	63x64	dent	9:51	10:29	0:38	Y	72	18	12:35	35	22	0	0	41	24			N	N	N	N	dent	2	0	N	N	210	46	56	N	N	N	N	N	N	N
42	63x64	dent	10:43	11:28	0:45	Y	6	15	17:40	0	0	47						N	N	N	N	dent	2	0	N	N	485	92	97	N	N	N	N	N	N	N
43	63x64	dent	9:26	10:06	0:40	Y	96	19		39	28	0	0	47	28	0	0	N	N	N	N	dent	2	0	N	N	173	43	12	N	N	Y	N	N	N	N
44	63x64	dent				N												N	N	N	N															N
45	63x64	dent	11:24	11:58	0:34	Y	6	15	18:05	0	0							N	N	N	N	dent	2	0	N	N	448	88	86	N	N	N	N	N	N	N
46	63x64	dent	12:34	13:07	0:33	Y	2	15	15:12	0	0							N	N	N	N	dent	2	0	Y	N				N	N	N	N	N	N	N
47	63x64	dent	10:48	11:29	0:41	Y	6	15	17:40	0	0							N	N	N	N	dent	2	0	N	N	476	78	94	N	N	N	N	N	N	N
48	63x64	dent	10:49	11:19	0:30	Y	24	16	11:40	44	24							N	N	N	N	dent	2	0	N	N	279	90	90	N	N	N	N	N	N	N
49	63x64	dent	12:16	12:45	0:29	Y	2	15	14:50	0	0							N	N	N	N	dent	2	0	Y	N				N	N	N	N	N	N	N
50	63x64	dent	13:26	13:56	0:30	Y	48	17	15:30	21	17	0	0					N	N	N	N	WT	2	0	N	Y	287	14	14	N	Y	N	Y	N	N	N
51	63x64	dent	13:42	14:12	0:30	Y	48	17	15:30	0	0	0	0					N	Y	N	Y	dent	2	0	N	Y	381	79	27	N	N	N	Y	N	N	N
52	63x64	dent				N												N	N	N	N															N
53	63x64	dent	10:57	11:44	0:47	Y	6	15	17:45	0	0							N	N	N	N	dent	2	0	N	N	366	60	20	N	N	N	N	N	N	N
54	63x64	dent	10:38	11:14	0:36	Y	24	16	11:40	29	16							N	N	N	N	dent	2	0	N	N	363	96	81	N	N	N	N	N	N	N
55	63x64	dent	10:57	11:29	0:32	Y	6	15	17:40	0	0							N	N	N	N	dent	2	0	N	N	438	87	80	N	N	N	N	N	N	N
56	63x64	dent	11:40	12:18	0:38	Y	48	17	15:30	33	18	0	0					N	N	N	N	dent	2	0	N	Y	231	56	66	N	N	N	Y	N	N	N
57	63x64	dent	9:39	10:08	0:29	Y	96	19		42	18	0	0	0	0	53	19	N	N	N	N	dent	2	0	N	N	113	39	46	N	N	N	N	N	N	N
58	63x64	dent	14:38	15:20	0:42	Y	48	17	15:30	45	32	0	0					N	N	N	N	WT	2	0	N	N	14	107	56	N	Y	N	N	N	N	N
59	63x64	dent	12:17	12:41	0:24	Y	2	15	14:50	0	0							N	Y	N	Y															N
60	63x64	dent	12:38	13:09	0:31	Y	2	15	15:12	0	0							N	Y	N	Y															N
61	63x64	dent	13:16	13:50	0:34	Y	48	17	15:30	0	0	0	0					N	Y	N	Y	dent	2	0	Y	N	312	77	14	N	N	N	N	N	N	N
62	63x64	dent	11:44	12:22	0:38	Y	48	17	15:10	0	0	0	0					N	Y	N	Y	dent	2	0	N	N	416	9	90	N	N	N	N	N	N	N
63	63x64	dent	15:07	15:30	0:23	Y	48	17	15:30	32	19	0	0					N	N	N	N	dent	2	0	Y	N	329	5	67	N	N	N	N	N	N	N
64	63x64	dent	12:13	12:40	0:27	Y	2	15	14:50	0	0							N	N	N	N															N
65	63x64	dent	10:38	11:09	0:31	Y	24	16	11:40	67	53							N	N	N	N	dent	2	0	N	Y	342	77	107	N	N	N	N	N	N	N
66	63x64	dent	10:16	10:52	0:36	Y	72	18	12:35	0	0	0	0	1	1			N	N	N	N	dent	2	0	N	N		52	58	N	N	N	N	N	N	N
67	63x64	dent	9:43	10:19	0:36	Y	72	18	12:35	65	30	0	0	35	16			N	N	N	N	dent	2	0	N	N	109	87	108	N	N	N	N	N	N	N
68	63x64	dent	9:43	10:22	0:39	Y	72	18	12:35	18	16	0	0	5	2			N	N	N	N	WT	0	0	N	N	106			N	Y	N	N	N	N	Y
69	63x64	dent	10:48	11:33	0:45	Y	24	16	11:40	39	10							N	N	N	N	dent	2	0	N	Y	358	4	86	N	N	N	N	N	N	N
70	63x64	dent	10:24	11:03	0:39	Y	24	16	11:40	61	36							N	N	N	N	dent	2	0	N	N	294	78	105	N	N	N	N	N	N	N
71	63x64	dent	12:53	13:29	0:36	Y				0	0							Y	Y	N	Y	dent	2	0	N	N	427	18	85	N	N	Y	N	N	N	N
72	63x64	dent	11:03	11:29	0:26	Y	6	15	17:40	0	0							N	N	N	N	dent	2	0	N	N	309	16	113	N	N	Y	N	N	N	N
73	63x64	dent	9:54	10:25	0:31	Y	72	18	12:35	35	23	0	0	1	1			N	N	N	N	dent	2	0	N	N	23	98	71	N	N	N	N	N	N	N
74	63x64	dent	9:43	10:23	0:40	Y	72	18	12:35	38	15	24	8	0	0			N	N	N	N	dent	2	0	N	N	304	111	77	N	N	N	N	N	N	N
75	63x64	dent	10:23	10:57	0:34	Y	24	16	11:40	45	35							N	N	N	N															N
76	63x64	dent	9:47	10:30	0:43	Y	72	18	12:35	58	34	0	0	0	0			N	N	N	N	dent	2	0	N	N	56	86	95	N	N	N	N	N	N	N
77	63x64	dent	10:03	10:43	0:40	Y	72	18	12:35	54	25	0	0	31	13			N	N	N	N	dent	2	0	N	Y	10	56	47	N	N	N	N	Y	N	N
78	63x64	dent	9:54	10:30	0:36	Y				44	13	0	0					Y	Y	N	Y															N
79	63x64	dent	12:23	12:53	0:30	Y	2	15	14:50	0	0							N	N	N	N															N
80	63x64	dent	13:56	14:22	0:26	Y	48	17	15:30	0	0	23	6					N	N	N	N	dent	2	0	N	N	255	73	61	N	N	N	N	N	N	N
81	63x64	dent				N												N	N	N	N															N
82	63x64	dent	10:38	11:19	0:41	Y	24	16	11:40	58	19							N	N	N	N	dent	2	0	N	Y	305	63	95	N	N	N	N	N	N	N
83	63x64	dent	11:12	11:53	0:41	Y	6	15	18:05	0	0							N	N	N	N	dent	2	0	N	Y	475	95	16	N	N	N	N	Y	N	N
84	63x64	dent	10:01	10:30	0:29	Y	72	18	12:35	67	40	0	0	64	41			N	N	N	N	dent	2	0	N	N	107	38	48	N	N	N	N	N	N	N
85	63x64	dent	10:49	11:15	0:26	Y	24	16	11:40	53	24							N	N	N	N	dent	2	0	N	N	349	64	112	N	N	N	N	N	N	N
86	63x64	dent	11:44	12:27	0:43	Y	48	17	15:30	61	42	0	0					N	N	N	N	dent	2	0	N	N	328	2	6	N	N	N	N	N	N	N
87	63x64	dent	10:03	10:30	0:27	Y	72	18	12:35	59	43	0	0	4	3			N	N	N	N	dent	2	0	N	N	51	65	67	N	N	N	N	N	N	N
88	63x64	dent	10:53	11:24	0:31	Y	24	16	11:40	42	17							N	N	N	N	dent	2	0	N	N	389	75	21	N	N	N	N	N	N	N
89	63x64	dent				N												N	N	N	N															N
90	63x64	dent	10:58	11:41	0:43	Y	72	18	12:35	67	43	0	0	45	25			N	N	N	N	dent	2	0	N	N	0	13	60	N	N	N	N	N	N	N
91	63x64	dent	12:54	13:26	0:32	Y	48	17	15:30	52	34	0	0					N	N	N	N	dent	2	0	N	Y	217			N	N	N	N	N	N	N
92	63x64	dent	12:30	13:00	0:30	Y	2	15	15:00	0	0							N	N	N	N															N
93	63x64	dent	12:30	13:02	0:32	Y	2	15	15:00	0	0							N	N	N	N															N
94	63x64	dent	10:53	11:19	0:26	Y	24	16	11:40	85	45							N	N	N	N	dent	2	0	N	Y	137	49	31	Y	N	N	N	N	N	N
95	63x64	dent	13:11	13:47	0:36	Y	48	17	15:30	48	40	0	0					N	N	N	N	dent	2	0	N	N	11	68	59	N	N	N	N	N	N	N
96	63x64	dent	14:06	14:38	0:32	Y	48	17	15:30	0	0	0	0					N	N	N	N	dent	2	0	N	Y	526	63	47	N	N	N	N	N	N	N
97	63x64	dent	11:44	12:17	0:33	Y	72	18	12:35	0	0	0	0	29	9			N	N	N	N	dent	2	0	N	N	95	14	16	N	N	N	N	N	N	N
98	63x64	dent	13:00	13:40	0:40	Y	48	17	15:30	59	40	0	0					N	N	N	N	dent	2	0	Y	N	11	88	65	N	N	N	N	N	N	N
99	63x64	dent	10:20	10:53	0:33	Y	72	18	12:35	70	38	0	0	45	27			N	N	N	N	dent	2	0	N	N	232	56	70	N	N	N	N	N	N	N
