"mel.both_baseMean","mel.both_log2FoldChange","mel.both_padj","mel.both_f.RE","mel.both_m.RE","log2FoldChange.FM"
"FBgn0000008",7.3709817006068,-0.321726798761825,0.0578820835670963,7.50609655854954,7.16803454281799,0.321726798761825
"FBgn0000014",10.0111214985278,-4.28234399093919,2.17269862106948e-149,10.9329354741077,6.60076428744104,4.28234399093919
"FBgn0000015",9.60187436298388,0.359454484046671,0.00753552752917153,9.38655652423607,9.75938317257418,-0.359454484046671
"FBgn0000017",8.06739662939126,0.486618441923842,2.78702235545427e-05,7.79076131402908,8.27715999774055,-0.486618441923842
"FBgn0000018",6.49422729038541,0.365050611673288,0.00479653707832073,6.30045578795082,6.64211284044948,-0.365050611673288
"FBgn0000024",6.66534493181303,1.47327392880343,0.00358215127015567,5.27508481621755,7.14717694802497,-1.47327392880343
"FBgn0000032",7.91219665434068,1.25632538806869,2.10490537409472e-32,7.14562661605773,8.39253002212998,-1.25632538806869
"FBgn0000036",4.72782302813409,8.45360123093032,3.52104279131313e-05,0,3.63471933248835,-8.45360123093032
"FBgn0000037",3.97115955862556,-1.80221929886917,0.000153769312399871,4.45848658808151,2.63580175767303,1.80221929886917
"FBgn0000038",2.79843457225189,1.197354370199,0.0351135781397972,1.98978724172999,3.10281873771691,-1.197354370199
"FBgn0000039",1.58088373422673,4.76848386780162,0.0662362154291303,0,1.50118919320845,-4.76848386780162
"FBgn0000042",13.0707263821908,-0.223120514344933,0.370540715840871,13.1619725539388,12.8676323901502,0.223120514344933
"FBgn0000043",8.94052548709445,1.30434403704692,0.000209654128615603,8.06705320925787,9.24286436479545,-1.30434403704692
"FBgn0000044",14.9161085336666,-2.22991003280976,9.82136977051426e-28,15.5739842248835,13.3671307795939,2.22991003280976
"FBgn0000045",5.20138629208984,2.65779826454427,3.16850620421959e-06,3.21990191550992,5.5378914428257,-2.65779826454427
"FBgn0000046",12.9662963802631,-1.60373151491092,3.25250663500975e-18,13.5050990011511,11.921310428744,1.60373151491092
"FBgn0000047",4.60585144999266,-2.48189696468953,1.70550391170035e-07,5.23142693582272,2.72755339424492,2.48189696468953
"FBgn0000052",9.61344414108414,-1.30919941034826,0.00181618179612334,9.80264126487542,8.72207671353986,1.30919941034826
"FBgn0000053",9.44093414037136,-0.855777009846801,0.002157112361606,9.76579427516739,8.81925731886894,0.855777009846801
"FBgn0000055",3.47411936821563,-0.0100444195836113,0.994898313818493,2.89423584010951,2.09297847432524,0.0100444195836113
"FBgn0000057",7.8079994589898,0.373651627011431,0.00259424734572146,7.59232194417633,7.97375801314521,-0.373651627011431
"FBgn0000061",2.58318320307487,-5.08088814256605,3.90747510865481e-09,3.33060732448539,0.117656276706419,5.08088814256605
"FBgn0000063",1.76253069233363,-0.149080236819069,0.878719230678499,1.60323191866341,1.99341198291002,0.149080236819069
"FBgn0000064",12.6179212621405,-1.24611791096104,1.50452196863879e-25,13.082058667631,11.8602845121608,1.24611791096104
"FBgn0000075",2.7239990946714,-1.35239474848393,0.0190305317456562,3.07035877182234,1.74541789495238,1.35239474848393
"FBgn0000077",6.64972734355234,0.30751092331766,0.0476109953895217,6.47418553923969,6.77188786079012,-0.30751092331766
"FBgn0000078",6.64681250296057,2.55550289137611,1.66874456982964e-05,4.74929081344766,6.72642215589054,-2.55550289137611
"FBgn0000079",6.82760433032366,3.03517282917193,1.80551620052022e-07,4.30789860777551,7.20608005283971,-3.03517282917193
"FBgn0000083",11.8120477601255,-0.931340136895143,8.84203253271957e-10,12.1959329353083,11.2276459597498,0.931340136895143
"FBgn0000084",9.42208793577331,0.422406434929844,0.0107255974460229,9.19031279057913,9.56930909294464,-0.422406434929844
"FBgn0000094",12.4006760672073,13.7797564074749,5.57770499095231e-147,0.703829060577975,13.3744045237367,-13.7797564074749
"FBgn0000097",8.0361444294574,-0.494385583675701,0.00998738106545608,8.24744922504205,7.71173713136643,0.494385583675701
"FBgn0000100",13.6967634231662,0.138569109550282,0.225908767706829,13.6185974967066,13.7499907454211,-0.138569109550282
"FBgn0000108",3.90635517212145,-2.02305653211974,4.82499577526993e-07,4.48730023618569,2.5121779222123,2.02305653211974
"FBgn0000109",6.55327513140936,-0.439494310832485,0.176528029448926,6.63906973007583,6.26360669439541,0.439494310832485
"FBgn0000114",7.21016766284471,-0.718589242276896,0.526178640422007,7.33576138699409,4.61232297702557,0.718589242276896
"FBgn0000115",8.60077449979314,1.153561478383,1.11102022245829e-26,7.90560438901575,9.0467553381115,-1.153561478383
"FBgn0000116",12.6759145675639,-1.46606004461984,5.2284284285782e-28,13.2048336458355,11.7479919962484,1.46606004461984
"FBgn0000117",10.6886780632214,0.213692976347113,0.00145027284598034,10.5731640571777,10.7879596504953,-0.213692976347113
"FBgn0000119",7.97880452674606,-0.59962623958299,2.91930501141229e-06,8.23118404007372,7.63236907239332,0.59962623958299
"FBgn0000120",2.21736631106585,1.72466276149536,0.450983452421456,1.04630223134881,1.70345722995368,-1.72466276149536
"FBgn0000121",3.26109434629519,0.637361310811452,0.786025720879698,1.50569483128385,1.90743467078946,-0.637361310811452
"FBgn0000139",7.94415339032052,0.671523402229925,7.84475090869882e-08,7.55799036018023,8.22100887799092,-0.671523402229925
"FBgn0000140",1.72437170976021,-3.92795693227951,0.0337413068935139,1.71910984903382,0.873679618272624,3.92795693227951
"FBgn0000146",3.90603355455789,-0.563500695838548,0.766553848633801,2.79664951558098,1.73409550941519,0.563500695838548
"FBgn0000147",1.86935350545388,-1.54917424037213,0.078618750688904,2.0313190863776,1.71422771519256,1.54917424037213
"FBgn0000150",11.7320648819791,-0.0921412054911287,0.609268674026761,11.745400192814,11.6738373726204,0.0921412054911287
"FBgn0000152",7.98769254755109,0.105406421695314,0.675384874112219,7.87421858352489,8.02205944707416,-0.105406421695314
"FBgn0000153",4.49160406431315,-2.08091796575584,3.87961659621221e-07,5.03331315547835,3.09264275657931,2.08091796575584
